ofac_id,grb_id,Type,Name,name_matches,atleast_1_date_of_births_matches,atleast_1_aliases_matches,atleast_1_id_numbers_matches
9332,8696,Individual,Ibrahim Sabawi Ibrahim Hasan AL-TIKRITI,true,true,false,true
9334,8652,Entity,ISLAMIC JIHAD GROUP,true,,false,
9345,10892,Entity,KOREA MINING DEVELOPMENT TRADING CORPORATION,true,,false,false
9346,10894,Entity,TANCHON COMMERCIAL BANK,true,,false,false
9347,10893,Entity,KOREA RYONBONG GENERAL CORPORATION,true,,false,false
9353,8697,Individual,Bashar Sabawi Ibrahim Hasan AL-TIKRITI,true,true,false,
9354,8698,Individual,Sa'd Sabawi Ibrahim Hasan AL-TIKRITI,true,true,false,
9357,8683,Individual,Faycal BOUGHANEMI,true,true,false,true
9358,8685,Individual,Abdelkader LAAGOUB,true,true,,true
9443,14054,Individual,Godwin MATANGA,true,true,,true
9519,12442,Entity,HESONG TRADING CORPORATION,true,,,false
9520,12449,Entity,TOSONG TECHNOLOGY TRADING CORPORATION,true,,,false
9521,12443,Entity,KOREA COMPLEX EQUIPMENT IMPORT CORPORATION,true,,,false
9523,12445,Entity,KOREA KWANGSONG TRADING CORPORATION,true,,,false
9524,13429,Entity,KOREA PUGANG TRADING CORPORATION,true,,,false
9526,12444,Entity,KOREA INTERNATIONAL CHEMICAL JOINT VENTURE COMPANY,true,,false,false
9527,12446,Entity,KOREA RYONHA MACHINERY JOINT VENTURE CORPORATION,true,,false,false
9584,8788,Individual,Radulan SAHIRON,true,true,false,
9585,8787,Individual,Isnilon Totoni HAPILON,true,true,false,
9588,8781,Individual,Farhad Kanabi AHMAD,true,true,false,false
9613,8837,Individual,Gabril Abdul Kareem BADRI,false,false,true,
9614,8831,Individual,Abu Bakar BA'ASYIR,true,true,false,
9615,8832,Individual,Gun Gun Rusman GUNAWAN,true,true,false,
9616,8833,Individual,Taufik RIFKI,true,true,false,
9617,8834,Individual,Abdullah ANSHORI,true,false,false,
9763,9044,Entity,SANAM INDUSTRIAL GROUP,true,,false,false
9764,9045,Entity,YA MAHDI INDUSTRIES GROUP,true,,false,false
9769,8904,Individual,Viktar Uladzimiravich SHEIMAN,true,true,false,
9797,13919,Individual,Viktar Aliaksandravich LUKASHENKA,false,false,true,
10007,8970,Individual,Najmuddin Faraj AHMAD,true,true,false,
10010,9225,Individual,Jaber AL-JALAMAH,false,true,true,true
10011,9226,Individual,Mubarak Mushakhas Sanad AL-BATHALI,false,true,false,true
10012,10911,Entity,KOREA HYOKSIN TRADING CORPORATION,true,,false,false
10033,8708,Individual,Khawa Panga MANDRO,true,true,false,
10035,8710,Individual,Laurent NKUNDA,true,true,false,
10036,8713,Individual,Ignace MURWANASHYAKA,true,true,,
10114,8983,Individual,Mohammed AL GHABRA,true,true,,true
10136,13996,Individual,Petr Petrovich MIKLASHEVICH,false,false,true,
10143,9068,Entity,BUTEMBO AIRLINES,true,,false,
10325,9065,Individual,Straton MUSONI,true,true,,
10371,8988,Entity,FARAYAND TECHNIQUE,true,,false,false
10479,9057,Individual,Morteza REZAIE,true,true,false,false
10480,9058,Individual,Ali Akbar AHMADIAN,true,true,false,false
10481,9062,Individual,Qasem SOLEIMANI,true,true,false,true
10483,12182,Individual,Mohammad HEJAZI,true,true,,false
10483,9061,Individual,Mohammad HEJAZI,true,true,,false
10489,11143,Entity,ORIENTAL OIL KISH,true,,,false
10490,11136,Entity,GHORB KARBALA,true,,false,false
10491,11147,Entity,SEPASAD ENGINEERING COMPANY,true,,,false
10492,11137,Entity,GHORB NOOH,true,,,false
10493,11139,Entity,OMRAN SAHEL,true,,,false
10494,11140,Entity,SAHEL CONSULTANT ENGINEERS,true,,,false
10495,11138,Entity,HARA COMPANY,true,,false,false
10569,11903,Individual,Hafiz MAKHLUF,false,false,true,
10581,9005,Individual,Bahmanyar Morteza BAHMANYAR,true,true,,true
10582,9003,Individual,Ahmad Vahid DASTJERDI,true,true,false,true
10583,9004,Individual,Reza-Gholi ESMAELI,true,true,,true
10584,9002,Individual,Hosein SALIMI,true,,false,true
10609,9055,Individual,Naser MALEKI,true,true,false,true
10612,9157,Individual,Abdelmalek DROUKDEL,true,true,false,
10689,9215,Individual,Muhammad SAEED,false,true,true,true
10690,9216,Individual,Zaki-ur-Rehman LAKHVI,true,true,false,true
10691,9217,Individual,Haji Muhammad ASHRAF,true,false,false,true
10692,9218,Individual,Mahmoud Mohammad Ahmed BAHAZIQ,true,true,false,true
10761,11090,Entity,AL-SHABAAB,true,,false,
10848,10661,Individual,Angelo Ramirez TRINIDAD,true,true,false,
10849,10665,Individual,Pio Abogne DE VERA,true,true,false,
10850,10666,Individual,Redendo Cain DELLOSA,true,true,false,false
10852,10668,Individual,Ricardo Perez AYERAS,true,true,false,
10854,10662,Individual,Dinno Amor Rosalejos PAREJA,true,true,false,
10856,9053,Individual,Mohsen HOJATI,true,true,,true
10857,9054,Individual,Mehrdada Akhlaghi KETABACHI,true,true,false,true
10858,11153,Entity,SHAHID SATTARI INDUSTRIES,true,,,false
10860,9006,Individual,Yahya Rahim SAFAVI,true,true,false,false
10861,9050,Individual,Mohsen FAKHRIZADEH-MAHABADI,true,,false,true
10863,8990,Entity,7TH OF TIR,true,,false,false
10887,9038,Entity,PARCHIN CHEMICAL INDUSTRIES,true,,false,false
10890,12153,Entity,SYRIATEL,true,,false,
10896,10747,Individual,Khalifa Muhammad Turki AL-SUBAIY,true,true,false,true
10923,7210,Entity,REVIVAL OF ISLAMIC HERITAGE SOCIETY,true,,false,
10932,6991,Entity,AL-HARAMAIN ISLAMIC FOUNDATION,true,,,
10935,10690,Individual,Yahia DJOUADI,true,true,false,
10936,10693,Individual,Ahmed DEGHDEGH,true,true,false,
10937,10691,Individual,Abid HAMMADOU,false,true,true,
11018,13344,Individual,Joseph KONY,true,true,,false
11177,12208,Individual,Abdul Reza SHAHLAI,true,true,false,false
11183,11953,Entity,SHIRAZ ELECTRONICS INDUSTRIES,true,,false,false
11198,11148,Entity,FARASAKHT INDUSTRIES,true,,,false
11311,11091,Individual,Ahmed Abdi AW-MOHAMED,true,true,false,
11315,10753,Individual,Redouane EL HABHAB,true,true,false,true
11322,10752,Individual,Adem YILMAZ,true,true,,false
11353,7309,Individual,Abdul HAQ,false,false,true,false
11353,10834,Individual,Abdul HAQ,true,true,false,true
